Term,Description,Context
MAK,neutron spectrometer 10. mass spectrometer, 4. Svet mapping spectrometer 5. Spikam multi-channel spectrometer 6. ultraviolet spectrophotometer (UFS-M) 7. long-wave radar (RLK) 8. Foton gamma-ray spectrometer  9. Neytron-S neutron spectrometer 10. mass spectrometer (MAK) 11. Aspera-S ion and particles power and mass analyzer194 
PGS,18. precision gamma ray spectrometer,ion analyzer 13. Dimio omni ionosphere energy mass spectrometer 14.  Mari-prob ionospheric plasma spectrometers 15. Maremf electron analyzer/magnetometer 16. Elisma wave complex experiment 17. Sled-2 low energy charged particle spectrometer 18. precision gamma-ray spectrometer (PGS) 19. Lilas-2 cosmic and solar gamma-burst spectrometer 20. Evris stellar oscilllation photometer 21. solar oscillation spectrometer (SOYa) 
SOYa,oscilllation photometer 21. solar oscillation spectrometer,ion analyzer 13. Dimio omni ionosphere energy mass spectrometer 14.  Mari-prob ionospheric plasma spectrometers 15. Maremf electron analyzer/magnetometer 16. Elisma wave complex experiment 17. Sled-2 low energy charged particle spectrometer 18. precision gamma-ray spectrometer (PGS) 19. Lilas-2 cosmic and solar gamma-burst spectrometer 20. Evris stellar oscilllation photometer 21. solar oscillation spectrometer (SOYa) 
TERS,dosimeter 23. tissue equivalent dosimeter, 22. Radius-M dosimeter  23. tissue-equivalent dosimeter (TERS)Small Autonomous Stations (MAS): 
MAS,equivalent dosimeter (TERS)Small Autonomous Stations, 22. Radius-M dosimeter  23. tissue-equivalent dosimeter (TERS)Small Autonomous Stations (MAS): 
MIS,(MAS): 1. meteorology complex, 23. tissue-equivalent dosimeter (TERS)Small Autonomous Stations (MAS):  1. meteorology complex (MIS) 2. meteorology complex (DPI) 3. 
DPI,complex (MIS) 2. meteorology complex, 23. tissue-equivalent dosimeter (TERS)Small Autonomous Stations (MAS):  1. meteorology complex (MIS) 2. meteorology complex (DPI) 3. 
ASI/MET,Pathfinder (including magnetometer and anemometer)2. atmospheric and meteorology package,"Scientific Instruments:Pathfinder Lander: 1. IMP imager for Mars Pathfinder (including magnetometer and anemometer)2. atmospheric and meteorology package (ASI/MET)Sojourner Rover:1. imaging system (three cameras)2. laser striper hazard detection system3. alpha proton x-ray spectrometer (APXS)4. wheel abrasion experiment5. materials adherence experiment6. accelerometersOn 21 July 1997, the Mars Path˜nder™s Sojourner rover  "
APXS,system3. alpha proton x ray spectrometer,"Scientific Instruments:Pathfinder Lander: 1. IMP imager for Mars Pathfinder (including magnetometer and anemometer)2. atmospheric and meteorology package (ASI/MET)Sojourner Rover:1. imaging system (three cameras)2. laser striper hazard detection system3. alpha proton x-ray spectrometer (APXS)4. wheel abrasion experiment5. materials adherence experiment6. accelerometersOn 21 July 1997, the Mars Path˜nder™s Sojourner rover  "
SWIMS,Scientific Instruments:1. solar wind ion mass spectrometer,Launch Complex 17A Scientific Instruments:1. solar wind ion mass spectrometer (SWIMS)  
SWICS,and solar wind ion composition spectrome ter,Scientific Instruments:1. solar wind ion mass spectrometer (SWIMS)  and solar wind ion composition spectrome-ter (SWICS)2. ultra-low energy isotope spectrometer (ULEIS)3. solar energetic particle ionic charge ana-lyzer (SEPICA) 
ULEIS,ter (SWICS)2. ultra low energy isotope spectrometer,Scientific Instruments:1. solar wind ion mass spectrometer (SWIMS)  and solar wind ion composition spectrome-ter (SWICS)2. ultra-low energy isotope spectrometer (ULEIS)3. solar energetic particle ionic charge ana-lyzer (SEPICA) 
SEPICA,(ULEIS)3. solar energetic particle ionic charge ana lyzer,Scientific Instruments:1. solar wind ion mass spectrometer (SWIMS)  and solar wind ion composition spectrome-ter (SWICS)2. ultra-low energy isotope spectrometer (ULEIS)3. solar energetic particle ionic charge ana-lyzer (SEPICA) 
SIS,(SEPICA) 4. solar isotope spectrometer,"and solar wind ion composition spectrome-ter (SWICS)2. ultra-low energy isotope spectrometer (ULEIS)3. solar energetic particle ionic charge ana-lyzer (SEPICA) 4. solar isotope spectrometer (SIS)5. cosmic ray isotope spectrometer (CRIS)6. solar wind electron, proton, and alpha mon-itor (SWEPAM) "
CRIS,spectrometer (SIS)5. cosmic ray isotope spectrometer,"and solar wind ion composition spectrome-ter (SWICS)2. ultra-low energy isotope spectrometer (ULEIS)3. solar energetic particle ionic charge ana-lyzer (SEPICA) 4. solar isotope spectrometer (SIS)5. cosmic ray isotope spectrometer (CRIS)6. solar wind electron, proton, and alpha mon-itor (SWEPAM) "
SWEPAM,"solar wind electron, proton, and alpha mon itor","and solar wind ion composition spectrome-ter (SWICS)2. ultra-low energy isotope spectrometer (ULEIS)3. solar energetic particle ionic charge ana-lyzer (SEPICA) 4. solar isotope spectrometer (SIS)5. cosmic ray isotope spectrometer (CRIS)6. solar wind electron, proton, and alpha mon-itor (SWEPAM) "
EPAM,"electron, proton, and alpha particle monitor","4. solar isotope spectrometer (SIS)5. cosmic ray isotope spectrometer (CRIS)6. solar wind electron, proton, and alpha mon-itor (SWEPAM) 7. electron, proton, and alpha-particle monitor (EPAM) "
MAG,particle monitor (EPAM) 8. magnetometer,"7. electron, proton, and alpha-particle monitor (EPAM) 8. magnetometer (MAG)9. real time solar wind experiment (RTSW)Results: The Advanced Composition Explorer  "
RTSW,(MAG)9. real time solar wind experiment,"7. electron, proton, and alpha-particle monitor (EPAM) 8. magnetometer (MAG)9. real time solar wind experiment (RTSW)Results: The Advanced Composition Explorer  "
ACE,Composition Explorer,8. magnetometer (MAG)9. real time solar wind experiment (RTSW)Results: The Advanced Composition Explorer  (ACE) spacecraft was designed to study space-borne energetic particles from the SunŒEarth L1  
CDA,Instruments:Cassini: 1. cosmic dust analyzer,"BEYOND EARTH: A CHRONICLE OF DEEP SPACE EXPLORATION, 1958Œ2016 Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5. "
VIMS,2. visible and infrared mapping spectrometer,"BEYOND EARTH: A CHRONICLE OF DEEP SPACE EXPLORATION, 1958Œ2016 Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5. "
ISS,(VIMS) 3. imaging science system,"BEYOND EARTH: A CHRONICLE OF DEEP SPACE EXPLORATION, 1958Œ2016 Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5. "
INMS,ion and neutral mass spectrometer,Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5.  ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9. 
RPWS,6. radio and plasma wave spectrometer,Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5.  ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9. 
CAPS,wave spectrometer (RPWS) 7. plasma spectrometer,Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5.  ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9. 
UVIS,spectrometer (CAPS) 8. ultraviolet imaging spectrograph,Scientific Instruments:Cassini: 1. cosmic dust analyzer (CDA) 2. visible and infrared mapping spectrometer (VIMS) 3. imaging science system (ISS) 4. radar 5.  ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9. 
MIMI,(UVIS) 9. magnetospheric imaging instrument, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
MAG,(MIMI) 10. dual technique magnetometer, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
CIRS,magnetometer (MAG) 11. composite infrared spectrometer, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
RSS,(CIRS) 12. radio science subsystem, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
HASI,subsystem (RSS)Huygens: 1. atmospheric structure instrument, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
GC/MS,2. gas chromatograph neutral mass spectrom eter, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
ACP,3. aerosol collector and pyrolyzer, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
DISR,pyrolyzer (ACP) 4. descent imager/spectral radiometer, ion and neutral mass spectrometer (INMS) 6. radio and plasma wave spectrometer (RPWS) 7. plasma spectrometer (CAPS) 8. ultraviolet imaging spectrograph (UVIS) 9.  magnetospheric imaging instrument (MIMI) 10. dual technique magnetometer (MAG) 11. composite infrared spectrometer (CIRS) 12. radio science subsystem (RSS)Huygens: 1. atmospheric structure instrument (HASI) 2. gas chromatograph neutral mass spectrom-eter (GC/MS) 3. aerosol collector and pyrolyzer (ACP) 4. descent imager/spectral radiometer (DISR) 5. surface science package (SSP) 6. Doppler wind experiment (DWE)Engineers process NASA™s Cassini spacecraft at Kennedy  
