Term,Definitions
Gamma Ray Observatory,A late 1980s NASA mission to explore the gamma ray window to the universe from 0.06 MeV to 30 GeV.
gamma ray sources (astronomy),
gamma ray spectra,The energy distribution of gamma rays emitted by nuclei.
gamma ray spectrometers,Instruments for deriving the physical constants of materials by using induced gamma radiation as the emission source.
gamma ray telescopes,Special telescopes for the observation (and recording) of astronomical phenomena in the gamma ray spectrum.
gamma rays,"Quantums of electromagnetic radiation emitted by nuclei, each such photon being emitted as the result of a quantum transition between two energy levels of the nucleus. Gamma rays have energies usually between 10 thousand electron volts and 10 million electron volts with correspondingly short wavelengths and high frequencies. Used for gamma radiation."
ganglia,
gantry cranes,Large cranes mounted on platforms that usually run back and forth on parallel tracks astride the work area. Used for gantries.
Ganymede,"A satellite of Jupiter orbiting at a mean distance of 1,071,000 kilometers. Also called Jupiter III."
gaps,
gaps (geology),"Ravines or gorges cut deeply through a mountain ridge, or between hills or mountains. Used for cols and passes."
garbage,
garments,
garnets,Groups of minerals that are silicates of cubic crystalline form.
GARP Atlantic Tropical Experiment,
gas analysis,
gas atomization,Atomization of fluids by high velocity gas jets.
gas bags,
gas bearings,
gas chromatography,"A method of chemical analysis involving the separation of volatile constituents of a mixture by means of gas flow entrainment, vapor pressure differences, and affinity of specific compounds for various liquids or solid materials."
gas composition,
gas cooled fast reactors,
gas cooled reactors,
gas cooling,
gas density,
gas detectors,
gas discharge tubes,"Evacuated enclosures containing a gas at low pressure that permits the passage of electricity through the gas upon application of sufficient voltage. Note: The tubes are usually provided with metal electrodes, but one form permits an electrodeless discharge with induced voltage. Used for discharge tubes and gas discharge counters."
gas discharges,
gas dissociation,
gas dynamics,
gas evolution,
gas exchange,
gas expansion,
gas explosions,
gas flow,
gas-gas interactions,
gas generators,"A device used to generate gases in the laboratory; a chemical plant for producing gas from coal, for example, water gas. Used for gas generator engines."
gas giant planets,"The giant planets, Jupiter, Saturn, Uranus, and Neptune, of our solar system."
gas guns,
gas heating,
gas injection,
gas-ion interactions,
gas ionization,
gas jets,
gas lasers,
gas-liquid interactions,
gas lubricants,
gas masers,
gas-metal interactions,
gas meters,
gas mixtures,
gas path analysis,"Mathematical process of determining overall engine performance, individual module performances and sensor performances from any specific set of engine related measurements."
gas pipes,
gas pockets,
gas pressure,
~ gas reactors,
gas recovery,
gas-solid interactions,Effects of the impingement of gases (particles) on solid surfaces in various environments.
gas-solid interfaces,
gas spectroscopy,
gas streams,
gas temperature,
gas transport,
~ gas tubes,
gas tungsten arc welding,
gas turbine engines,
gas turbines,"Turbines rotated by expanding gases, as in a turbojet engine or in a turbosupercharger."
gas valves,
gas viscosity,
gas welding,
gasdynamic lasers,
gaseous diffusion,A method of isotopic separation based on the fact that gas atoms or molecules with different masses will diffuse through a morous barrier (orm membrane) at different rates. The method is used to separate uranium 235 from uranium 238. It requires large gaseous diffusion plants and enormous amounts of electric power.
gaseous fission reactors,
gaseous fuels,
gaseous rocket propellants,
gaseous self-diffusion,
gases,
gasification,
gaskets,Preformed deformable devices designed to be placed between two adjoining parts to prevent the passage of liquid or gas between the parts.
gasohol (fuel),Synthetic fuel consisting of a mixture of gasoline and grain alcohol (ethanol).
gasoline,
Gaspra asteroid,
gastrointestinal system,
~ gates,
gates (circuits),
gates (openings),
gauge invariance,
gauge theory,"A field theory in which symmetrics of the theory are implemented locally in space and time. This leads to theories where forces are generally carried by vector bosons. Some gauge theories are electrodynamics, quantum chromodynamics, and Yang Mills theory."
Gauss equation,
Gauss-Markov theorem,
Gaussian elimination,A technique for solving linear equations by progressive differencing.
gauze,
GAW-1 airfoil,
GAW-2 airfoil,
GE 625 computer,
GE 635 computer,
GE computers,
~ gear,
gear teeth,
gears,
gegenschein,A round or elongated spot of light in the sky at a point 180 degrees from the sun. Also called counterglow.
gehlenite,A mineral of the mellite group. It is isomorphous with akermenite. Used for verlardenite.
Geiger counters,"Instruments for detecting and measuring radioactivity. In full, Geiger-Mueller counter. Used for Geiger-Mueller tubes."
